"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","11","4,525","3.79"
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","2","2,274","1.90"
"Apostolic Christian Church (Nazarene)","Evangelical Protestant","Other Groups Family","1","100","0.08"
"Armenian Apostolic Church of America (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","2,772","2.32"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","20","6,733","5.64"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","19","0.02"
"Baha'i Faith","Other","Other Groups Family","6","385","0.32"
"Brethren in Christ Church","Evangelical Protestant","Friends/Brethren Family","1","38","0.03"
"Buddhists","Buddhism","Buddhism Family","5","",""
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","2","",""
"Catholic Church","Catholic","Catholicism (Western Liturgical) Family","63","302,201","253.07"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","7","1,142","0.96"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","2","472","0.40"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","7","826","0.69"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","2","429","0.36"
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","9","1,549","1.30"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","10","3,630","3.04"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","44","0.04"
"Church of Jesus Christ of Latter-day Saints","Other","Latter-day Saints (Mormonism) Family","13","4,031","3.38"
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","1","96","0.08"
"Church of the Nazarene","Evangelical Protestant","Holiness Family","11","2,609","2.18"
"Churches of Christ","Evangelical Protestant","Restorationists Family","23","4,962","4.16"
"Community of Christ","Other","Latter-day Saints (Mormonism) Family","3","917","0.77"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","5","2,867","2.40"
"Conservative Congregational Christian Conference","Evangelical Protestant","Presbyterian/Reformed Family","2","548","0.46"
"Converge Worldwide","Evangelical Protestant","Baptist Family","3","241","0.20"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","23","9,791","8.20"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","1","532","0.45"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","90","0.08"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","28","14,346","12.01"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","8","2,824","2.36"
"Free Methodist Church - USA","Evangelical Protestant","Holiness Family","6","1,120","0.94"
"Friends (Quakers)","Mainline Protestant","Friends/Brethren Family","1","44","0.04"
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","7","1,871","1.57"
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","3","3,633","3.04"
"Hindus","Hinduism","Hinduism Family","5","",""
"Independent, Charismatic Churches","Evangelical Protestant","Pentecostal Family","4","2,550","2.14"
"Independent, Non-Charismatic Churches","Evangelical Protestant","Other Groups Family","5","7,180","6.01"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","5","721","0.60"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","1","62","0.05"
"Jain","Other","Other Groups Family","1","",""
"Jewish Congregations","Judaism","Judaism Family","35","77,200","64.65"
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","34","25,892","21.68"
"Malankara Orthodox Syrian Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","125","0.10"
"Missionary Church, The","Evangelical Protestant","Holiness Family","4","618","0.52"
"Muslim Estimate","Islam","Islam Family","7","12,955","10.85"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","7","2,598","2.18"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","8","712","0.60"
"New Testament Association of Independent Baptist Churches and other Fundamental Baptists","Evangelical Protestant","Baptist Family","10","2,528","2.12"
"North American Baptist Conference","Evangelical Protestant","Baptist Family","1","237","0.20"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","492","0.41"
"Orthodox Church in America: Albanian Orthodox Archdiocese","Orthodox","Eastern Liturgical (Orthodox) Family","1","450","0.38"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","2","213","0.18"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","28","17,435","14.60"
"Reformed Church in America","Mainline Protestant","Presbyterian/Reformed Family","1","63","0.05"
"Romanian Orthodox Archdiocese in the Americas","Orthodox","Eastern Liturgical (Orthodox) Family","1","525","0.44"
"Romanian Orthodox Episcopate of America","Orthodox","Eastern Liturgical (Orthodox) Family","2","385","0.32"
"Russian Orthodox Church Outside of Russia, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","",""
"Salvation Army","Evangelical Protestant","Holiness Family","3","2,174","1.82"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","8","1,771","1.48"
"Sikh","Other","Other Groups Family","3","",""
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","28","6,695","5.61"
"Syrian Orthodox Church of Antioch","Orthodox","Eastern Liturgical (Orthodox) Family","1","600","0.50"
"Ukrainian Orthodox Church of the U.S.A.","Orthodox","Eastern Liturgical (Orthodox) Family","1","471","0.39"
"Unitarian Universalist Association","Other","Liberal Family","5","1,392","1.17"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","8","3,192","2.67"
"United Methodist Church","Mainline Protestant","Methodist Family","55","29,195","24.45"
"Universal Fellowship of Metropolitan Community Churches","Mainline Protestant","Other Groups Family","2","152","0.13"
"Wesleyan Church","Evangelical Protestant","Holiness Family","1","125","0.10"
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","3","783","0.66"
" "," "," ","573.0","577,152.0"," "
